Adult,BookingEnddate,BookingStartDate,BookingType,Child,Country,Equipment,,Night,,partySize,Permits,RateType,State
2,09/25/2016,09/21/2016,CampsitePermit,,CANADA ,Less than 20ft,,4,,2,1,Senior,NS 
1,08/06/2016,08/01/2016,CampsitePermit,,CANADA ,Less than 30ft,,5,,1,1,Senior,QC 
2,09/18/2016,09/16/2016,CampsitePermit,,CANADA ,Tents,,2,,2,1,Full,NS 
2,08/28/2016,08/26/2016,CampsitePermit,2,CANADA ,Less than 20ft,,2,,4,1,Full,NS 
2,07/31/2016,07/29/2016,CampsitePermit,,CANADA ,Less than 40ft,,2,,2,1,Full,NS 
2,08/01/2016,07/29/2016,CampsitePermit,,CANADA ,Less than 20ft,,3,,2,1,Full,NS 
5,08/12/2016,08/11/2016,CampsitePermit,,CANADA ,Single Tent,,1,,5,1,Full,NS 
2,08/13/2016,08/07/2016,CampsitePermit,1,CANADA ,Less than 30ft,,6,,3,1,Full,NS 
1,07/14/2016,07/12/2016,CampsitePermit,2,CANADA ,Single Tent,,2,,3,1,Full,NS 
2,08/20/2016,08/19/2016,CampsitePermit,1,CANADA ,Single Tent,,1,,3,1,Full,NS 
2,07/20/2016,07/18/2016,CampsitePermit,2,CANADA ,Single Tent,,2,,4,1,Full,NS 
1,07/24/2016,07/22/2016,CampsitePermit,,CANADA ,Single Tent,,2,,1,1,Full,NS 
4,07/31/2016,07/30/2016,CampsitePermit,,CANADA ,Tents,,1,,4,1,Full,NS 
2,08/20/2016,08/19/2016,CampsitePermit,4,CANADA ,Tents,,1,,6,1,Full,NS 
1,09/21/2016,09/20/2016,CampsitePermit,,CANADA ,Single Tent,,1,,1,1,Full,SK 
2,07/26/2016,07/24/2016,CampsitePermit,,CANADA ,Single Tent,,2,,2,1,Full,NS 
2,05/23/2016,05/20/2016,CampsitePermit,,CANADA ,Single Tent,,3,,2,1,Full,NS 
2,07/17/2016,07/12/2016,CampsitePermit,2,CANADA ,Single Tent,,5,,4,1,Full,NS 
2,09/05/2016,09/02/2016,CampsitePermit,2,CANADA ,Single Tent,,3,,4,1,Full,NS 
1,06/05/2016,06/04/2016,CampsitePermit,,CANADA ,Single Tent,,1,,1,1,Full,NS 
2,09/11/2016,09/09/2016,CampsitePermit,1,CANADA ,Single Tent,,2,,3,1,Full,NS 
2,07/22/2016,07/21/2016,CampsitePermit,,CANADA ,Single Tent,,1,,2,1,Full,QC 
2,08/07/2016,08/06/2016,CampsitePermit,,CANADA ,Single Tent,,1,,2,1,Full,NS 
2,06/19/2016,06/17/2016,CampsitePermit,1,CANADA ,Single Tent,,2,,3,1,Full,NS 
2,08/11/2016,08/10/2016,CampsitePermit,,CANADA ,Less than 30ft,,1,,2,1,Full,ON 
2,06/26/2016,06/24/2016,CampsitePermit,2,CANADA ,Single Tent,,2,,4,1,Full,NS 
1,06/28/2016,06/27/2016,CampsitePermit,,CANADA ,Less than 20ft,,1,,1,1,Senior,ON 
2,07/31/2016,07/29/2016,CampsitePermit,2,CANADA ,Single Tent,,2,,4,1,Full,NS 
2,07/02/2016,06/30/2016,CampsitePermit,2,CANADA ,Less than 20ft,,2,,4,1,Full,NS 
1,07/20/2016,07/19/2016,CampsitePermit,,CANADA ,Single Tent,,1,,1,1,Senior,ON 
2,06/12/2016,06/10/2016,CampsitePermit,3,CANADA ,Less than 30ft,,2,,5,1,Full,NS 
4,07/16/2016,07/13/2016,CampsitePermit,2,CANADA ,Less than 20ft,,3,,6,1,Full,NS 
2,06/28/2016,06/27/2016,CampsitePermit,3,CANADA ,Single Tent,,1,,5,1,Full,NS 
2,07/21/2016,07/17/2016,CampsitePermit,1,CANADA ,Less than 30ft,,4,,3,1,Full,ON 
2,09/05/2016,09/04/2016,CampsitePermit,,CANADA ,Single Tent,,1,,2,1,Full,NS 
2,08/21/2016,08/20/2016,CampsitePermit,,CANADA ,Single Tent,,1,,2,1,Full,NS 
2,09/09/2016,09/08/2016,CampsitePermit,,CANADA ,Less than 20ft,,1,,2,1,Full,NS 
2,07/16/2016,07/14/2016,CampsitePermit,,CANADA ,Single Tent,,2,,2,1,Full,PE 
2,06/26/2016,06/24/2016,CampsitePermit,2,CANADA ,Less than 30ft,,2,,4,1,Full,NS 
2,07/05/2016,07/04/2016,CampsitePermit,2,CANADA ,Single Tent,,1,,4,1,Full,ON 
4,08/10/2016,08/08/2016,CampsitePermit,,CANADA ,Less than 30ft,,2,,4,1,Full,PE 
1,08/24/2016,08/23/2016,CampsitePermit,2,CANADA ,Single Tent,,1,,3,1,Full,NS 
3,08/21/2016,08/19/2016,CampsitePermit,,CANADA ,Less than 30ft,,2,,3,1,Full,NS 
3,09/05/2016,09/02/2016,CampsitePermit,,CANADA ,Tents,,3,,3,1,Full,NS 
